nbPlayer, nbType, timeNu, timeAddO, timeAddNO, timeAddOO, nbNodeAddO, nbNodeAddNO, nbNodeAddOO, temsConstructNu, tempsConstructAddO, tempsConstructAddNO, tempsConstructAddOO
14, 6, 28.0, 3.0, 6.0, 5.0, 396.0, 855.0, 718.0, 33.0, 14.0, 14.0, 13.0
14, 6, 46.0, 1.0, 3.0, 2.0, 182.0, 397.0, 475.0, 32.0, 14.0, 14.0, 14.0
14, 6, 45.0, 2.0, 4.0, 6.0, 451.0, 634.0, 1082.0, 33.0, 14.0, 16.0, 25.0
14, 6, 43.0, 5.0, 11.0, 8.0, 965.0, 1559.0, 1297.0, 33.0, 15.0, 15.0, 15.0
14, 6, 35.0, 3.0, 5.0, 5.0, 584.0, 968.0, 990.0, 33.0, 15.0, 15.0, 15.0
14, 6, 40.0, 4.0, 7.0, 4.0, 927.0, 1029.0, 1122.0, 35.0, 15.0, 15.0, 15.0
14, 6, 17.0, 1.0, 0.0, 0.0, 15.0, 15.0, 15.0, 44.0, 12.0, 12.0, 12.0
14, 6, 31.0, 2.0, 5.0, 7.0, 384.0, 705.0, 856.0, 33.0, 14.0, 14.0, 15.0
14, 6, 39.0, 3.0, 4.0, 4.0, 504.0, 689.0, 746.0, 32.0, 15.0, 15.0, 15.0
14, 6, 47.0, 1.0, 5.0, 6.0, 352.0, 789.0, 1035.0, 32.0, 15.0, 15.0, 15.0
14, 6, 29.0, 3.0, 5.0, 2.0, 413.0, 608.0, 285.0, 32.0, 15.0, 14.0, 13.0
14, 6, 16.0, 1.0, 0.0, 1.0, 15.0, 15.0, 15.0, 31.0, 13.0, 11.0, 13.0
14, 6, 45.0, 3.0, 6.0, 5.0, 490.0, 964.0, 862.0, 30.0, 16.0, 16.0, 15.0
14, 6, 32.0, 3.0, 4.0, 6.0, 634.0, 820.0, 1007.0, 31.0, 15.0, 26.0, 15.0
14, 6, 36.0, 2.0, 6.0, 3.0, 377.0, 787.0, 538.0, 31.0, 14.0, 15.0, 14.0
14, 6, 16.0, 0.0, 0.0, 0.0, 15.0, 15.0, 15.0, 31.0, 13.0, 12.0, 12.0
