nbPlayer, nbType, timeNu, timeAddO, timeAddNO, timeAddOO, nbNodeAddO, nbNodeAddNO, nbNodeAddOO, temsConstructNu, tempsConstructAddO, tempsConstructAddNO, tempsConstructAddOO
14, 4, 43.0, 1.0, 3.0, 3.0, 144.0, 328.0, 358.0, 32.0, 13.0, 14.0, 14.0
14, 4, 44.0, 4.0, 4.0, 3.0, 418.0, 460.0, 300.0, 41.0, 15.0, 14.0, 12.0
14, 4, 35.0, 1.0, 3.0, 1.0, 165.0, 309.0, 129.0, 33.0, 13.0, 13.0, 13.0
14, 4, 50.0, 1.0, 2.0, 0.0, 100.0, 217.0, 219.0, 32.0, 13.0, 14.0, 14.0
14, 4, 39.0, 2.0, 5.0, 1.0, 192.0, 381.0, 266.0, 56.0, 14.0, 14.0, 14.0
14, 4, 44.0, 1.0, 3.0, 2.0, 184.0, 268.0, 202.0, 33.0, 14.0, 15.0, 13.0
14, 4, 35.0, 1.0, 5.0, 1.0, 203.0, 388.0, 152.0, 33.0, 13.0, 14.0, 13.0
14, 4, 42.0, 1.0, 4.0, 1.0, 164.0, 431.0, 200.0, 32.0, 14.0, 23.0, 13.0
14, 4, 45.0, 1.0, 3.0, 1.0, 130.0, 361.0, 208.0, 33.0, 13.0, 16.0, 14.0
14, 4, 58.0, 2.0, 5.0, 2.0, 247.0, 396.0, 221.0, 31.0, 13.0, 15.0, 14.0
14, 4, 38.0, 1.0, 4.0, 2.0, 197.0, 440.0, 272.0, 32.0, 13.0, 23.0, 13.0
14, 4, 37.0, 0.0, 3.0, 1.0, 121.0, 306.0, 157.0, 34.0, 15.0, 15.0, 13.0
14, 4, 35.0, 1.0, 3.0, 1.0, 88.0, 338.0, 260.0, 33.0, 14.0, 13.0, 13.0
14, 4, 42.0, 1.0, 3.0, 2.0, 153.0, 309.0, 368.0, 32.0, 14.0, 22.0, 14.0
14, 4, 58.0, 1.0, 3.0, 1.0, 118.0, 444.0, 149.0, 32.0, 13.0, 14.0, 13.0
14, 4, 42.0, 2.0, 5.0, 2.0, 289.0, 614.0, 314.0, 31.0, 13.0, 14.0, 14.0
14, 4, 36.0, 2.0, 4.0, 1.0, 195.0, 572.0, 258.0, 32.0, 21.0, 15.0, 14.0
14, 4, 42.0, 1.0, 2.0, 3.0, 260.0, 375.0, 422.0, 31.0, 14.0, 14.0, 14.0
14, 4, 28.0, 2.0, 2.0, 2.0, 253.0, 335.0, 227.0, 31.0, 14.0, 13.0, 13.0
14, 4, 29.0, 1.0, 1.0, 0.0, 78.0, 128.0, 77.0, 31.0, 22.0, 13.0, 12.0
14, 4, 46.0, 4.0, 6.0, 6.0, 375.0, 572.0, 701.0, 32.0, 14.0, 15.0, 14.0
14, 4, 17.0, 0.0, 0.0, 0.0, 15.0, 15.0, 15.0, 32.0, 12.0, 12.0, 13.0
14, 4, 34.0, 0.0, 0.0, 0.0, 77.0, 131.0, 136.0, 32.0, 13.0, 13.0, 22.0
14, 4, 39.0, 1.0, 1.0, 2.0, 116.0, 162.0, 302.0, 31.0, 12.0, 13.0, 12.0
14, 4, 26.0, 1.0, 2.0, 2.0, 282.0, 301.0, 267.0, 32.0, 13.0, 13.0, 12.0
14, 4, 41.0, 2.0, 8.0, 3.0, 511.0, 825.0, 353.0, 32.0, 15.0, 14.0, 23.0
14, 4, 37.0, 2.0, 6.0, 1.0, 246.0, 584.0, 248.0, 32.0, 13.0, 14.0, 13.0
14, 4, 40.0, 2.0, 3.0, 1.0, 238.0, 366.0, 227.0, 32.0, 13.0, 15.0, 14.0
14, 4, 39.0, 1.0, 1.0, 1.0, 150.0, 261.0, 261.0, 32.0, 13.0, 13.0, 23.0
14, 4, 60.0, 1.0, 1.0, 1.0, 111.0, 199.0, 151.0, 31.0, 13.0, 12.0, 12.0
14, 4, 35.0, 2.0, 3.0, 2.0, 216.0, 304.0, 287.0, 30.0, 13.0, 13.0, 13.0
14, 4, 60.0, 2.0, 4.0, 1.0, 257.0, 337.0, 122.0, 32.0, 13.0, 15.0, 12.0
14, 4, 41.0, 3.0, 5.0, 2.0, 286.0, 466.0, 223.0, 33.0, 14.0, 13.0, 13.0
14, 4, 31.0, 1.0, 1.0, 1.0, 143.0, 197.0, 151.0, 33.0, 14.0, 14.0, 14.0
14, 4, 151.0, 1.0, 1.0, 1.0, 61.0, 149.0, 182.0, 32.0, 12.0, 13.0, 13.0
14, 4, 44.0, 2.0, 3.0, 2.0, 223.0, 349.0, 280.0, 32.0, 13.0, 15.0, 13.0
14, 4, 41.0, 3.0, 5.0, 3.0, 341.0, 413.0, 364.0, 32.0, 14.0, 15.0, 14.0
14, 4, 42.0, 3.0, 3.0, 3.0, 461.0, 511.0, 451.0, 34.0, 14.0, 15.0, 14.0
14, 4, 41.0, 3.0, 4.0, 2.0, 409.0, 518.0, 316.0, 32.0, 14.0, 14.0, 14.0
14, 4, 71.0, 2.0, 1.0, 1.0, 55.0, 133.0, 179.0, 38.0, 15.0, 14.0, 15.0
14, 4, 30.0, 1.0, 2.0, 1.0, 116.0, 307.0, 198.0, 36.0, 14.0, 13.0, 13.0
14, 4, 29.0, 2.0, 1.0, 1.0, 191.0, 201.0, 162.0, 37.0, 13.0, 14.0, 13.0
14, 4, 76.0, 2.0, 8.0, 3.0, 259.0, 575.0, 289.0, 35.0, 13.0, 15.0, 14.0
14, 4, 39.0, 1.0, 3.0, 3.0, 183.0, 374.0, 407.0, 39.0, 14.0, 14.0, 13.0
14, 4, 40.0, 1.0, 3.0, 2.0, 169.0, 401.0, 428.0, 33.0, 13.0, 15.0, 14.0
14, 4, 42.0, 1.0, 6.0, 1.0, 183.0, 709.0, 261.0, 34.0, 14.0, 15.0, 13.0
14, 4, 55.0, 2.0, 6.0, 1.0, 233.0, 496.0, 213.0, 32.0, 14.0, 14.0, 13.0
14, 4, 49.0, 0.0, 4.0, 2.0, 172.0, 348.0, 412.0, 33.0, 14.0, 14.0, 14.0
14, 4, 43.0, 1.0, 3.0, 1.0, 170.0, 350.0, 152.0, 33.0, 13.0, 15.0, 13.0
14, 4, 49.0, 1.0, 5.0, 3.0, 210.0, 539.0, 396.0, 33.0, 15.0, 14.0, 15.0
