nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, emptyCore
17, 4, 0.0, 5.0, 3.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1028, 1028, 1028, 0, 0, 0, false
17, 4, 0.0, 0.0, 0.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 266, 266, 0, 0, 0, false
17, 4, 0.0, 0.0, 0.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 65, 65, 0, 0, 0, false
17, 4, 0.0, 2.0, 0.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 634, 634, 634, 0, 0, 0, false
17, 4, 0.0, 3.0, 2.0, 29.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 615, 615, 615, 0, 0, 0, false
17, 4, 0.0, 2.0, 1.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 860, 860, 860, 0, 0, 0, false
17, 4, 0.0, 0.0, 1.0, 22.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 129, 129, 0, 0, 0, false
17, 4, 0.0, 6.0, 3.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1051, 1051, 1051, 0, 0, 0, false
17, 4, 0.0, 3.0, 2.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 617, 617, 617, 0, 0, 0, false
17, 4, 0.0, 1.0, 1.0, 22.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 314, 314, 0, 0, 0, false
17, 4, 0.0, 2.0, 1.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 906, 906, 906, 0, 0, 0, false
17, 4, 0.0, 0.0, 1.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 273, 273, 0, 0, 0, false
17, 4, 0.0, 7.0, 5.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 825, 825, 825, 0, 0, 0, false
17, 4, 0.0, 2.0, 2.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438, 438, 438, 0, 0, 0, false
17, 4, 0.0, 2.0, 2.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1028, 1028, 1028, 0, 0, 0, false
17, 4, 0.0, 0.0, 0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 161, 161, 0, 0, 0, false
17, 4, 0.0, 1.0, 2.0, 23.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 348, 348, 0, 0, 0, false
17, 4, 0.0, 1.0, 0.0, 24.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 477, 477, 477, 0, 0, 0, false
17, 4, 0.0, 1.0, 1.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 865, 865, 865, 0, 0, 0, false
17, 4, 0.0, 1.0, 1.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 403, 403, 403, 0, 0, 0, false
17, 4, 0.0, 1.0, 0.0, 23.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 384, 384, 0, 0, 0, false
17, 4, 0.0, 1.0, 1.0, 19.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 565, 565, 565, 0, 0, 0, false
17, 4, 0.0, 1.0, 1.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 296, 296, 0, 0, 0, false
