nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, nbEmptyCore
10, 2, 0.0, 0.085, 0.065, 0.83, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51, 51, 51, 0, 0, 0, 0
10, 3, 0.0, 0.12, 0.15, 0.765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89, 89, 89, 0, 0, 0, 0
10, 4, 0.0, 0.28, 0.205, 0.385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 96, 96, 96, 0, 0, 0, 0
10, 5, 0.0, 0.27, 0.335, 0.205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 116, 116, 116, 0, 0, 0, 0
10, 6, 0.0, 0.23, 0.24, 0.235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 105, 105, 105, 0, 0, 0, 0
11, 2, 0.0, 0.035, 0.025, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 59, 59, 59, 0, 0, 0, 0
11, 3, 0.0, 0.115, 0.095, 0.395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 108, 108, 108, 0, 0, 0, 0
11, 4, 0.0, 0.175, 0.13, 0.335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130, 130, 130, 0, 0, 0, 0
11, 5, 0.0, 0.31, 0.225, 0.32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 159, 159, 159, 0, 0, 0, 0
11, 6, 0.0, 0.425, 0.38, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 173, 173, 173, 0, 0, 0, 0
12, 2, 0.0, 0.06, 0.06, 0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76, 76, 76, 0, 0, 0, 0
12, 3, 0.0, 0.135, 0.095, 0.685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 143, 143, 143, 0, 0, 0, 0
