nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, isSolvednbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, isSolved, weight0, weight1, weight2
10, 3, 172, 187, 0.0, 0.0, 0.0, false, 6, 4, 3
10, 3, 134, 141, 0.0, 0.0, 0.0, false, 6, 3, 3
10, 3, 106, 118, 0.0, 0.0, 0.0, false, 4, 5, 2
10, 3, 137, 147, 0.0, 0.0, 0.0, false, 2, 6, 5
10, 3, 140, 153, 0.0, 0.0, 0.0, false, 3, 5, 5
10, 3, 91, 112, 0.0, 0.0, 0.0, false, 2, 4, 2
10, 3, 119, 126, 0.0, 0.0, 0.0, false, 5, 3, 5
10, 3, 89, 91, 0.0, 0.0, 0.0, false, 2, 3, 6
10, 3, 173, 179, 0.0, 0.0, 0.0, false, 3, 5, 5
10, 3, 124, 135, 0.0, 0.0, 0.0, false, 6, 6, 4
10, 3, 49, 62, 10.0, 24.0, 24.0, true, 2, 2, 3
10, 3, 99, 112, 0.0, 0.0, 0.0, false, 5, 4, 5
10, 3, 147, 153, 0.0, 0.0, 0.0, false, 6, 6, 2
10, 3, 103, 105, 0.0, 0.0, 0.0, false, 3, 5, 5
10, 3, 115, 119, 0.0, 0.0, 0.0, false, 3, 6, 5
10, 3, 113, 115, 0.0, 0.0, 0.0, false, 4, 4, 4
10, 3, 87, 95, 0.0, 0.0, 0.0, false, 2, 6, 3
10, 3, 139, 151, 0.0, 0.0, 0.0, false, 6, 3, 2
10, 3, 115, 119, 0.0, 0.0, 0.0, false, 3, 6, 4
10, 3, 113, 119, 0.0, 0.0, 0.0, false, 4, 4, 5
10, 3, 144, 149, 0.0, 0.0, 0.0, false, 5, 6, 2
10, 3, 70, 79, 0.0, 0.0, 0.0, false, 2, 6, 2
10, 3, 173, 179, 0.0, 0.0, 0.0, false, 6, 6, 3
10, 3, 64, 75, 0.0, 0.0, 0.0, false, 6, 2, 6
10, 3, 126, 131, 0.0, 0.0, 0.0, false, 5, 5, 4
10, 3, 104, 117, 0.0, 0.0, 0.0, false, 2, 4, 5
10, 3, 49, 63, 0.0, 0.0, 0.0, false, 2, 2, 4
10, 3, 73, 84, 4.0, 28.0, 31.0, true, 2, 2, 6
10, 3, 140, 153, 0.0, 0.0, 0.0, false, 3, 3, 3
10, 3, 121, 127, 0.0, 0.0, 0.0, false, 6, 4, 6
10, 3, 160, 162, 0.0, 0.0, 0.0, false, 3, 2, 5
10, 3, 169, 171, 0.0, 0.0, 0.0, false, 4, 3, 4
10, 3, 173, 188, 0.0, 0.0, 0.0, false, 4, 6, 5
10, 3, 89, 114, 14.0, 494.0, 1671.0, false, 2, 2, 3
10, 3, 173, 179, 0.0, 0.0, 0.0, false, 3, 5, 3
10, 3, 62, 73, 0.0, 0.0, 0.0, false, 2, 2, 2
10, 3, 111, 129, 0.0, 0.0, 0.0, false, 4, 2, 5
10, 3, 52, 68, 0.0, 0.0, 0.0, false, 2, 2, 4
10, 3, 144, 149, 0.0, 0.0, 0.0, false, 3, 5, 6
10, 3, 52, 68, 0.0, 0.0, 0.0, false, 4, 2, 2
10, 3, 160, 162, 0.0, 0.0, 0.0, false, 6, 2, 6
10, 3, 169, 171, 0.0, 0.0, 0.0, false, 4, 3, 5
10, 3, 107, 119, 0.0, 0.0, 0.0, false, 2, 4, 4
10, 3, 98, 109, 15.0, 1354.0, 3171.0, false, 5, 3, 4
10, 3, 79, 87, 0.0, 0.0, 0.0, false, 3, 2, 3
10, 3, 115, 122, 0.0, 0.0, 0.0, false, 6, 3, 6
10, 3, 93, 101, 0.0, 0.0, 0.0, false, 4, 3, 4
10, 3, 28, 51, 0.0, 0.0, 0.0, false, 5, 2, 3
10, 3, 87, 91, 0.0, 0.0, 0.0, false, 4, 3, 5
10, 3, 103, 108, 0.0, 0.0, 0.0, false, 2, 3, 5
10, 3, 150, 180, 0.0, 0.0, 0.0, false, 2, 3, 4
10, 3, 113, 119, 0.0, 0.0, 0.0, false, 4, 5, 3
10, 3, 139, 151, 0.0, 0.0, 0.0, false, 5, 6, 2
10, 3, 148, 160, 0.0, 0.0, 0.0, false, 3, 4, 6
10, 3, 72, 81, 0.0, 0.0, 0.0, false, 2, 6, 4
10, 3, 98, 109, 15.0, 1320.0, 3179.0, false, 2, 3, 4
10, 3, 75, 87, 0.0, 0.0, 0.0, false, 5, 3, 2
10, 3, 125, 135, 0.0, 0.0, 0.0, false, 3, 6, 4
10, 3, 144, 149, 0.0, 0.0, 0.0, false, 5, 6, 4
10, 3, 104, 121, 4.0, 119.0, 173.0, false, 3, 2, 6
10, 3, 85, 98, 0.0, 0.0, 0.0, false, 4, 5, 5
10, 3, 173, 188, 0.0, 0.0, 0.0, false, 4, 3, 4
10, 3, 87, 107, 0.0, 0.0, 0.0, false, 2, 5, 3
10, 3, 69, 80, 10.0, 23.0, 27.0, true, 2, 2, 3
10, 3, 62, 73, 0.0, 0.0, 0.0, false, 2, 4, 2
10, 3, 117, 123, 0.0, 0.0, 0.0, false, 4, 4, 6
10, 3, 66, 80, 0.0, 0.0, 0.0, false, 2, 4, 2
10, 3, 52, 68, 0.0, 0.0, 0.0, false, 3, 4, 2
10, 3, 133, 136, 0.0, 0.0, 0.0, false, 5, 2, 4
10, 3, 140, 153, 0.0, 0.0, 0.0, false, 4, 6, 3
10, 3, 145, 167, 0.0, 0.0, 0.0, false, 6, 6, 2
10, 3, 125, 135, 0.0, 0.0, 0.0, false, 3, 4, 3
