nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, nbEmptyCore
5, 2, 0.11, 0.115, 0.055, 0.08, 0.73, 0.735, 0.795, 0.8, 0.295, 0.365, 0.41, 0.395, 0.435, 0.37, 0.385, 0.405, 15, 15, 17, 18, 20, 21, 0
5, 3, 0.07, 0.06, 0.035, 0.05, 0.47, 0.45, 0.615, 0.53, 0.105, 0.18, 0.23, 0.17, 0.365, 0.27, 0.385, 0.36, 18, 20, 21, 21, 25, 25, 0
5, 4, 0.05, 0.045, 0.05, 0.025, 0.53, 0.545, 0.595, 0.65, 0.165, 0.325, 0.34, 0.325, 0.365, 0.22, 0.255, 0.325, 16, 17, 18, 20, 22, 23, 0
5, 5, 0.035, 0.025, 0.02, 0.015, 0.49, 0.495, 0.51, 0.555, 0.145, 0.24, 0.24, 0.27, 0.345, 0.255, 0.27, 0.285, 15, 16, 16, 20, 22, 22, 8
5, 6, 0.025, 0.035, 0.035, 0.03, 0.46, 0.445, 0.43, 0.425, 0.215, 0.22, 0.22, 0.235, 0.245, 0.225, 0.21, 0.19, 9, 9, 9, 14, 14, 15, 0
6, 2, 0.09, 0.04, 0.025, 0.095, 0.65, 0.57, 0.59, 0.665, 0.25, 0.24, 0.23, 0.31, 0.4, 0.33, 0.36, 0.355, 23, 24, 27, 27, 30, 34, 10
6, 3, 0.055, 0.025, 0.02, 0.035, 0.62, 0.675, 0.725, 0.695, 0.225, 0.305, 0.315, 0.275, 0.395, 0.37, 0.41, 0.42, 28, 32, 34, 32, 38, 41, 1
6, 4, 0.09, 0.02, 0.025, 0.035, 0.56, 0.64, 0.59, 0.64, 0.205, 0.275, 0.215, 0.305, 0.355, 0.365, 0.375, 0.335, 28, 32, 33, 33, 38, 40, 0
6, 5, 0.08, 0.11, 0.05, 0.065, 0.54, 0.58, 0.59, 0.675, 0.195, 0.295, 0.325, 0.385, 0.345, 0.285, 0.265, 0.29, 25, 28, 29, 32, 36, 36, 6
6, 6, 0.05, 0.08, 0.05, 0.04, 0.55, 0.52, 0.56, 0.57, 0.255, 0.29, 0.3, 0.305, 0.295, 0.23, 0.26, 0.265, 18, 19, 19, 26, 26, 29, 0
7, 2, 0.155, 0.06, 0.04, 0.06, 1.335, 0.93, 1.12, 1.15, 0.845, 0.585, 0.69, 0.795, 0.49, 0.345, 0.43, 0.355, 28, 32, 36, 34, 41, 47, 21
7, 3, 0.1, 0.035, 0.105, 0.105, 1.04, 0.88, 0.995, 1.13, 0.6, 0.43, 0.58, 0.66, 0.44, 0.45, 0.415, 0.47, 40, 49, 51, 45, 59, 62, 8
7, 4, 0.1, 0.115, 0.09, 0.08, 1.105, 1.09, 1.27, 1.275, 0.655, 0.69, 0.835, 0.875, 0.45, 0.4, 0.435, 0.4, 43, 53, 54, 50, 63, 65, 0
7, 5, 0.075, 0.075, 0.095, 0.03, 1.055, 0.955, 1.225, 1.15, 0.575, 0.57, 0.79, 0.69, 0.48, 0.385, 0.435, 0.46, 45, 53, 54, 54, 64, 65, 17
7, 6, 0.14, 0.07, 0.105, 0.035, 1.1, 0.995, 1.07, 1.135, 0.735, 0.68, 0.71, 0.715, 0.365, 0.315, 0.36, 0.42, 36, 41, 43, 48, 52, 58, 0
8, 2, 0.255, 0.06, 0.04, 0.115, 2.215, 1.135, 1.325, 1.45, 1.51, 0.73, 0.85, 0.955, 0.705, 0.405, 0.475, 0.495, 39, 44, 51, 46, 57, 64, 21
8, 3, 0.25, 0.1, 0.125, 0.1, 2.175, 1.535, 1.875, 1.985, 1.52, 0.97, 1.25, 1.34, 0.655, 0.565, 0.625, 0.645, 61, 77, 78, 67, 90, 92, 9
8, 4, 0.305, 0.06, 0.145, 0.155, 2.12, 1.515, 1.9, 2.1, 1.475, 1.02, 1.355, 1.51, 0.645, 0.495, 0.545, 0.59, 61, 78, 84, 69, 93, 102, 2
8, 5, 0.23, 0.11, 0.125, 0.12, 2.16, 1.535, 2.045, 2.09, 1.59, 1.05, 1.575, 1.575, 0.57, 0.485, 0.47, 0.515, 65, 84, 87, 76, 98, 103, 10
8, 6, 0.245, 0.21, 0.175, 0.085, 2.135, 1.635, 1.71, 1.96, 1.59, 1.105, 1.175, 1.5, 0.545, 0.53, 0.535, 0.46, 59, 69, 75, 75, 84, 98, 1
9, 2, 0.535, 0.07, 0.06, 0.185, 4.195, 1.41, 1.66, 1.895, 3.11, 0.84, 1.09, 1.235, 1.085, 0.57, 0.57, 0.66, 46, 55, 65, 55, 73, 85, 47
9, 3, 0.545, 0.09, 0.135, 0.245, 4.135, 1.84, 2.525, 2.74, 3.105, 1.285, 1.845, 1.98, 1.03, 0.555, 0.68, 0.76, 79, 105, 112, 87, 124, 134, 18
9, 4, 0.54, 0.1, 0.22, 0.235, 4.12, 2.015, 2.66, 3.065, 3.15, 1.445, 1.985, 2.305, 0.97, 0.57, 0.675, 0.76, 88, 114, 127, 99, 135, 155, 1
9, 5, 0.54, 0.17, 0.37, 0.2, 3.905, 2.015, 2.505, 2.71, 3.04, 1.46, 1.95, 2.08, 0.865, 0.555, 0.555, 0.63, 87, 107, 115, 102, 129, 138, 18
9, 6, 0.565, 0.245, 0.44, 0.2, 3.87, 2.17, 2.465, 2.93, 3.085, 1.57, 1.915, 2.24, 0.785, 0.6, 0.55, 0.69, 90, 110, 119, 112, 131, 151, 0
10, 2, 1.195, 0.075, 0.145, 0.32, 8.005, 1.73, 2.015, 2.365, 6.27, 1.08, 1.405, 1.67, 1.735, 0.65, 0.61, 0.695, 59, 71, 84, 71, 94, 108, 47
10, 3, 1.265, 0.12, 0.205, 0.4, 6.315, 1.895, 2.65, 2.88, 4.57, 1.205, 1.81, 1.845, 1.745, 0.69, 0.84, 1.035, 107, 145, 155, 117, 170, 183, 13
10, 4, 1.195, 0.145, 0.37, 0.41, 7.84, 2.74, 3.89, 4.685, 6.255, 2.065, 3.05, 3.56, 1.585, 0.675, 0.84, 1.125, 125, 176, 196, 139, 205, 233, 1
10, 5, 1.295, 0.325, 0.485, 0.44, 7.455, 2.875, 3.88, 4.445, 6.075, 2.18, 3.105, 3.435, 1.38, 0.695, 0.775, 1.01, 133, 175, 195, 151, 208, 230, 19
10, 6, 1.245, 0.445, 0.76, 0.3, 7.235, 2.97, 3.6, 4.325, 5.995, 2.23, 2.85, 3.37, 1.24, 0.74, 0.75, 0.955, 136, 172, 188, 164, 199, 239, 1
11, 2, 2.735, 0.08, 0.1, 0.625, 16.105, 1.99, 2.515, 2.935, 12.565, 1.315, 1.795, 2.085, 3.54, 0.675, 0.72, 0.85, 70, 87, 102, 85, 116, 134, 68
11, 3, 2.88, 0.15, 0.305, 0.705, 15.84, 2.89, 4.145, 4.85, 12.65, 2.07, 3.235, 3.66, 3.19, 0.82, 0.91, 1.19, 129, 180, 199, 141, 214, 240, 33
11, 4, 2.795, 0.27, 0.5, 0.68, 15.4, 3.165, 4.815, 5.96, 12.62, 2.375, 3.765, 4.475, 2.78, 0.79, 1.05, 1.485, 149, 219, 247, 165, 258, 302, 8
11, 5, 2.905, 0.485, 0.96, 0.69, 15.18, 3.95, 5.59, 6.77, 12.525, 3.115, 4.51, 5.23, 2.655, 0.835, 1.08, 1.54, 187, 257, 295, 210, 300, 347, 26
11, 6, 3.025, 0.65, 1.06, 0.77, 14.465, 4.47, 6.125, 7.66, 11.85, 3.545, 4.83, 5.94, 2.615, 0.925, 1.295, 1.72, 212, 298, 332, 254, 343, 415, 2
12, 2, 6.275, 0.125, 0.18, 1.12, 35.11, 2.345, 2.615, 3.285, 23.94, 1.51, 1.89, 2.205, 11.17, 0.835, 0.725, 1.08, 89, 107, 132, 109, 141, 170, 84
12, 3, 6.57, 0.18, 0.385, 1.305, 34.02, 3.465, 5.095, 6.4, 24.47, 2.48, 3.805, 4.57, 9.55, 0.985, 1.29, 1.83, 175, 247, 273, 190, 289, 325, 28
12, 4, 6.44, 0.37, 0.87, 1.33, 32.82, 4.08, 6.3, 8.715, 23.865, 3.035, 4.815, 6.38, 8.955, 1.045, 1.485, 2.335, 218, 324, 374, 237, 368, 446, 11
12, 5, 6.385, 0.59, 1.35, 1.5, 32.805, 4.89, 7.765, 9.8, 23.975, 3.745, 6.145, 7.435, 8.83, 1.145, 1.62, 2.365, 262, 389, 447, 289, 444, 517, 35
12, 6, 6.5, 0.965, 2.185, 1.325, 30.935, 5.17, 7.915, 10.295, 22.99, 3.995, 6.14, 7.82, 7.945, 1.175, 1.775, 2.475, 279, 395, 457, 324, 457, 566, 0
13, 2, 14.255, 0.15, 0.215, 1.98, 70.525, 2.735, 3.33, 4.3, 49.015, 1.775, 2.405, 2.885, 21.51, 0.96, 0.925, 1.415, 105, 133, 162, 127, 176, 207, 89
13, 3, 14.24, 0.27, 0.485, 2.4, 69.96, 4.165, 6.71, 8.59, 49.86, 3.0, 4.995, 5.91, 20.1, 1.165, 1.715, 2.68, 202, 301, 339, 224, 365, 409, 50
13, 4, 14.26, 0.645, 1.34, 2.53, 65.59, 4.845, 8.57, 11.595, 48.485, 3.515, 6.495, 8.235, 17.105, 1.33, 2.075, 3.36, 256, 410, 485, 279, 482, 582, 7
13, 5, 14.575, 0.85, 2.37, 2.675, 63.81, 6.05, 9.695, 12.84, 46.61, 4.62, 7.565, 9.35, 17.2, 1.43, 2.13, 3.49, 332, 492, 588, 368, 569, 680, 45
13, 6, 15.155, 1.685, 3.695, 2.69, 62.985, 7.09, 11.61, 15.95, 46.93, 5.405, 8.885, 11.505, 16.055, 1.685, 2.725, 4.445, 387, 579, 679, 447, 661, 841, 3
14, 2, 32.295, 0.115, 0.305, 4.105, 150.815, 3.3, 4.01, 5.45, 100.1, 2.21, 2.79, 3.635, 50.715, 1.09, 1.22, 1.815, 130, 161, 200, 158, 212, 252, 84
14, 3, 32.77, 0.385, 0.755, 4.97, 149.515, 5.4, 8.875, 11.385, 103.51, 3.865, 6.55, 7.685, 46.005, 1.535, 2.325, 3.7, 260, 388, 441, 285, 464, 521, 45
14, 4, 32.22, 0.69, 2.16, 5.455, 143.315, 6.415, 11.34, 16.4, 101.85, 4.835, 8.64, 11.345, 41.465, 1.58, 2.7, 5.055, 333, 521, 645, 364, 602, 767, 17
14, 5, 33.455, 1.285, 3.545, 5.395, 139.525, 8.35, 14.98, 19.7, 101.015, 6.35, 11.685, 13.855, 38.51, 2.0, 3.295, 5.845, 448, 706, 835, 492, 822, 969, 29
14, 6, 33.485, 2.04, 5.845, 5.135, 136.73, 10.095, 18.02, 24.915, 99.645, 7.845, 13.645, 17.19, 37.085, 2.25, 4.375, 7.725, 532, 837, 982, 606, 963, 1214, 6
15, 2, 72.525, 0.245, 0.305, 7.99, 337.625, 3.83, 4.88, 6.655, 209.3, 2.575, 3.465, 4.375, 128.325, 1.255, 1.415, 2.28, 145, 183, 227, 180, 249, 291, 103
15, 3, 73.205, 0.445, 1.065, 9.43, 319.325, 6.59, 11.33, 14.905, 209.835, 4.745, 8.265, 9.86, 109.49, 1.845, 3.065, 5.045, 322, 482, 555, 351, 573, 658, 46
15, 4, 74.08, 0.93, 3.345, 10.035, 282.355, 7.595, 13.75, 20.62, 185.59, 5.45, 9.895, 13.4, 96.765, 2.145, 3.855, 7.22, 424, 671, 861, 458, 778, 1030, 17
15, 5, 73.915, 2.045, 6.305, 10.955, 291.105, 10.73, 20.545, 29.11, 200.02, 8.065, 15.205, 19.21, 91.085, 2.665, 5.34, 9.9, 577, 947, 1170, 630, 1092, 1348, 33
15, 6, 74.33, 3.46, 10.25, 10.325, 285.02, 13.905, 25.015, 36.105, 202.765, 10.49, 17.885, 23.395, 82.255, 3.415, 7.13, 12.71, 716, 1145, 1357, 813, 1293, 1661, 1
16, 2, 164.33, 0.225, 0.485, 16.15, 731.015, 4.45, 6.095, 7.855, 425.71, 2.955, 4.325, 5.1, 305.305, 1.495, 1.77, 2.755, 170, 223, 272, 206, 298, 343, 98
16, 3, 166.68, 0.675, 1.545, 18.025, 680.435, 7.25, 13.48, 17.38, 415.87, 5.0, 9.695, 10.975, 264.565, 2.25, 3.785, 6.405, 367, 568, 655, 401, 693, 780, 48
16, 4, 165.79, 1.42, 5.03, 20.72, 654.105, 10.13, 18.985, 29.535, 417.95, 7.3, 14.06, 18.825, 236.155, 2.83, 4.925, 10.71, 517, 841, 1097, 561, 974, 1293, 21
16, 5, 167.515, 2.72, 10.09, 20.685, 647.35, 14.005, 27.08, 40.805, 420.875, 10.42, 19.34, 26.4, 226.475, 3.585, 7.74, 14.405, 745, 1201, 1540, 803, 1389, 1790, 46
16, 6, 166.425, 5.66, 18.685, 20.975, 623.005, 19.99, 36.59, 51.455, 420.875, 14.655, 24.86, 31.85, 202.13, 5.335, 11.73, 19.605, 972, 1561, 1876, 1084, 1741, 2259, 3
17, 2, 379.39, 0.33, 0.575, 31.655, 1521.735, 5.105, 7.12, 9.485, 829.305, 3.27, 5.03, 5.96, 692.43, 1.835, 2.09, 3.525, 200, 262, 328, 245, 346, 410, 106
