nbPlayer, nbType, timeCreateADD, timeCreateADDbis, timeCretaeDAG, nbNodeADD, nbNodeADDbis, nbNodeDAG, timeSolveADD, timeSolveDAG, emptyCore, cosADD, cosDAG
14, 2, 16.0, 0.0, 0.0, 195.0, 189.0, 195.0, 2.0, 2.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 121.0, 114.0, 127.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 15.0, 0.0, 0.0, 58.0, 46.0, 86.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 15.0, 1.0, 0.0, 91.0, 77.0, 101.0, 1.0, 1.0, true, 2.0, 2.0
14, 2, 17.0, 0.0, 0.0, 141.0, 117.0, 159.0, 1.0, 1.0, true, 9.0, 9.0
14, 2, 16.0, 0.0, 0.0, 235.0, 221.0, 235.0, 1.0, 2.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 214.0, 207.0, 214.0, 2.0, 2.0, false, 0.0, 0.0
14, 2, 17.0, 0.0, 0.0, 156.0, 142.0, 157.0, 1.0, 1.0, true, 6.0, 5.9999999999999964
14, 2, 17.0, 0.0, 0.0, 133.0, 119.0, 139.0, 1.0, 0.0, true, 5.0, 5.0
14, 2, 16.0, 0.0, 0.0, 238.0, 232.0, 238.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 17.0, 0.0, 0.0, 180.0, 158.0, 188.0, 1.0, 1.0, true, 2.999999999999993, 3.0
14, 2, 16.0, 0.0, 0.0, 162.0, 153.0, 165.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 18.0, 0.0, 0.0, 75.0, 61.0, 96.0, 1.0, 1.0, true, 3.0, 3.0
14, 2, 16.0, 0.0, 0.0, 134.0, 120.0, 140.0, 1.0, 1.0, true, 4.0, 4.0
14, 2, 17.0, 0.0, 0.0, 126.0, 112.0, 132.0, 1.0, 1.0, true, 6.0, 6.0
14, 2, 16.0, 0.0, 0.0, 126.0, 108.0, 136.0, 1.0, 1.0, true, 8.0, 8.0
14, 2, 17.0, 0.0, 0.0, 195.0, 189.0, 195.0, 2.0, 2.0, false, 0.0, 0.0
14, 2, 17.0, 0.0, 0.0, 228.0, 220.0, 228.0, 2.0, 2.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 88.0, 72.0, 100.0, 0.0, 1.0, true, 4.0, 4.0
14, 2, 15.0, 0.0, 0.0, 101.0, 84.0, 114.0, 1.0, 1.0, true, 6.0, 6.0
14, 2, 16.0, 0.0, 0.0, 68.0, 56.0, 89.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 160.0, 146.0, 163.0, 1.0, 2.0, true, 4.0, 4.0
14, 2, 16.0, 0.0, 0.0, 159.0, 153.0, 160.0, 2.0, 1.0, false, 0.0, 0.0
14, 2, 15.0, 0.0, 0.0, 154.0, 136.0, 161.0, 2.0, 1.0, true, 8.0, 7.9999999999999964
14, 2, 16.0, 0.0, 0.0, 79.0, 67.0, 94.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 19.0, 0.0, 0.0, 153.0, 134.0, 161.0, 1.0, 1.0, true, 10.0, 10.0
14, 2, 15.0, 0.0, 0.0, 164.0, 154.0, 167.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 78.0, 64.0, 93.0, 1.0, 1.0, true, 2.0, 2.0
14, 2, 15.0, 0.0, 0.0, 117.0, 95.0, 135.0, 1.0, 1.0, true, 12.0, 12.0
14, 2, 16.0, 0.0, 0.0, 204.0, 174.0, 228.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 15.0, 1.0, 0.0, 132.0, 126.0, 135.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 16.0, 0.0, 0.0, 136.0, 126.0, 142.0, 1.0, 1.0, false, 0.0, 0.0
14, 2, 15.0, 0.0, 0.0, 103.0, 84.0, 118.0, 1.0, 1.0, true, 10.0, 10.0
