nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3, weight4, weight5
19, 6, 2010, 2116, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 3, 10, 5, 6
19, 6, 542, 933, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 7, 1, 1, 7
19, 6, 1432, 2267, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 8, 1, 3, 10
19, 6, 2402, 3294, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 4, 3, 10, 7, 1
19, 6, 1771, 1939, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 9, 8, 10, 5, 6
19, 6, 1167, 1208, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 8, 1, 5, 7, 7
19, 6, 2322, 2338, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 4, 6, 3, 7
19, 6, 1067, 1212, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 5, 6, 10, 1, 9
19, 6, 1320, 1526, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 10, 7, 1, 5, 5
19, 6, 2062, 2352, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 6, 10, 4, 2, 3
19, 6, 857, 869, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3, 10, 4, 10, 5
19, 6, 2295, 2421, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 8, 7, 9, 3, 5
19, 6, 2070, 2089, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 6, 8, 7, 5, 8
19, 6, 2696, 2746, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 8, 10, 10, 10
19, 6, 745, 899, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 8, 1, 3, 1, 8
19, 6, 1089, 1425, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 1, 4, 1, 4, 9
19, 6, 3974, 4308, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 8, 10, 9, 3, 9
19, 6, 1955, 2052, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 4, 5, 8, 5, 9
19, 6, 1338, 1490, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 6, 7, 4, 1
19, 6, 1, 20, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 9, 6, 3, 10, 3
19, 6, 2318, 2602, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 7, 4, 4, 3
19, 6, 2549, 3170, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 2, 8, 6, 4, 5
19, 6, 3212, 3432, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 3, 8, 4, 6, 6
19, 6, 1906, 2012, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 7, 5, 5, 10, 3
19, 6, 788, 939, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 8, 6, 2, 5, 2
19, 6, 1582, 1890, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 10, 9, 7, 1, 7
19, 6, 1617, 2159, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 10, 9, 1, 8, 5
19, 6, 821, 946, 200.0, 9005.0, 64432.0, true, false, true, 2463.0, 3780.0, 2838.0, 4404.0, 3, 1, 2, 9, 2, 7
19, 6, 953, 1088, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 1, 8, 2, 6, 9
19, 6, 3725, 3799, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 4, 6, 6, 2, 8
19, 6, 1349, 1529, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3, 3, 7, 4, 2
19, 6, 4728, 4762, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 3, 5, 9, 5, 10
19, 6, 1302, 1491, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 7, 6, 7, 9, 6
19, 6, 4020, 4295, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 1, 8, 8, 9, 4
19, 6, 3034, 3241, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 4, 6, 5, 2, 3
19, 6, 2798, 3058, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 6, 8, 8, 2
19, 6, 964, 1056, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2, 3, 1, 7, 5
19, 6, 1569, 1851, 24.0, 74252.0, 69036.0, false, false, true, 4707.0, 7470.0, 5553.0, 8879.0, 3, 2, 5, 2, 8, 9
19, 6, 1417, 1903, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 3, 2, 4, 6, 1
19, 6, 3343, 3523, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 3, 2, 4, 9
19, 6, 786, 887, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 9, 2, 3, 9, 5
19, 6, 2700, 3055, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 8, 5, 4, 1, 7
19, 6, 3511, 3620, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 5, 8, 10, 9
19, 6, 1687, 1701, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 2, 10, 10, 7, 9
19, 6, 1258, 1327, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 2, 5, 10, 6, 7
19, 6, 2521, 2656, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 10, 3, 4, 5, 9
19, 6, 1456, 1535, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 8, 2, 10, 5, 3
19, 6, 2098, 2398, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 3, 8, 4, 6, 8
19, 6, 1487, 1595, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 7, 3, 1, 7, 4
19, 6, 2420, 2537, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 7, 2, 7, 7
19, 6, 1618, 1686, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4, 3, 8, 6, 3
19, 6, 3007, 3231, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 5, 9, 5, 7, 2
19, 6, 2041, 2117, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 9, 2, 4, 3, 4
19, 6, 495, 623, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 1, 8, 6, 7
19, 6, 276, 374, 30.0, 280.0, 4004.0, true, true, true, 828.0, 1239.0, 1122.0, 1728.0, 1, 1, 10, 1, 10, 7
19, 6, 3043, 3733, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 9, 9, 7, 5, 10
19, 6, 433, 511, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 6, 4, 10, 1, 1
19, 6, 3283, 3448, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 9, 9, 9, 3, 5
19, 6, 1524, 1779, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 9, 5, 10, 5
19, 6, 556, 966, 38.33333333333326, 62670.0, 62574.0, false, false, true, 1668.0, 2559.0, 2898.0, 4608.0, 1, 5, 3, 10, 1, 9
