nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2
13, 3, 139, 155, 4.0, 49.0, 53.0, true, true, true, 417.0, 646.0, 465.0, 725.0, 3, 2, 7
13, 3, 38, 84, 21.0, 17.0, 48.0, true, true, true, 114.0, 191.0, 252.0, 420.0, 1, 2, 1
13, 3, 246, 256, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 3
13, 3, 157, 171, 25.0, 358.0, 1091.0, false, false, true, 471.0, 726.0, 513.0, 795.0, 6, 5, 4
13, 3, 87, 184, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 1
13, 3, 223, 321, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 5, 7
13, 3, 47, 74, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 1, 5
13, 3, 173, 314, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 6, 1
13, 3, 316, 320, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 5
13, 3, 155, 175, 30.0, 840.0, 1671.0, false, false, true, 465.0, 720.0, 525.0, 819.0, 7, 3, 3
13, 3, 71, 94, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 1
13, 3, 300, 313, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 7, 4
13, 3, 243, 254, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3, 6
13, 3, 63, 106, 6.0, 34.0, 35.0, true, true, true, 189.0, 300.0, 318.0, 514.0, 1, 3, 2
13, 3, 83, 132, 22.0, 36.0, 88.0, true, true, true, 249.0, 406.0, 396.0, 650.0, 3, 1, 2
13, 3, 272, 281, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 5
13, 3, 266, 301, 10.0, 61406.0, 61787.0, false, false, true, 798.0, 1265.0, 903.0, 1439.0, 5, 2, 4
13, 3, 247, 260, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 3
