nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3, weight4
13, 5, 134, 155, 24.0, 60835.0, 60922.0, false, false, true, 402.0, 633.0, 465.0, 737.0, 3, 2, 3, 4, 2
13, 5, 307, 332, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 3, 5, 3
13, 5, 302, 366, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 5, 1, 6, 5
13, 5, 430, 434, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 5, 7, 3
13, 5, 395, 427, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 1, 1, 6, 5
13, 5, 145, 163, 16.0, 125.0, 194.0, true, true, true, 435.0, 672.0, 489.0, 761.0, 2, 2, 6, 3, 5
13, 5, 283, 349, 4.0, 118.0, 127.0, true, true, true, 849.0, 1346.0, 1047.0, 1675.0, 7, 2, 1, 3, 2
13, 5, 283, 313, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 4, 1, 5
13, 5, 273, 329, 2.0, 115.0, 141.0, true, true, true, 819.0, 1292.0, 987.0, 1571.0, 1, 3, 1, 4, 4
13, 5, 15, 45, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 1, 5, 5
13, 5, 279, 357, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 7, 1, 3
13, 5, 122, 154, 2.0, 63.0, 93.0, true, true, true, 366.0, 569.0, 462.0, 728.0, 3, 6, 3, 1, 1
13, 5, 67, 113, 17.0, 18.0, 33.0, true, true, true, 201.0, 320.0, 339.0, 549.0, 1, 1, 1, 1, 5
13, 5, 327, 342, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 4, 5, 3
13, 5, 23, 96, 4.0, 9.0, 23.0, true, true, true, 69.0, 120.0, 288.0, 484.0, 4, 7, 5, 2, 4
13, 5, 264, 281, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 1, 3, 7, 5
13, 5, 269, 323, 4.0, 76.0, 112.0, true, true, true, 807.0, 1224.0, 969.0, 1493.0, 5, 3, 5, 3, 1
13, 5, 230, 284, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 4, 7, 7
13, 5, 542, 622, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 3, 6, 6
13, 5, 508, 620, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 7, 6, 6, 5
13, 5, 344, 372, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 4, 3, 5
13, 5, 236, 274, 2.0, 816.0, 1403.0, true, true, true, 708.0, 1091.0, 822.0, 1280.0, 2, 5, 6, 1, 1
13, 5, 346, 359, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 5, 1, 7, 5
13, 5, 435, 475, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 6, 6, 6, 6
13, 5, 468, 491, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 5, 3, 5, 3
13, 5, 153, 186, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4, 1, 6, 6
13, 5, 446, 574, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 6, 1, 6
13, 5, 203, 237, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 6, 1, 6
13, 5, 608, 627, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 3, 6, 3
13, 5, 93, 115, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 1, 4, 4, 2
13, 5, 310, 395, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 5, 3, 1, 6
13, 5, 195, 216, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 6, 4, 2, 7
13, 5, 76, 98, 16.0, 71.0, 107.0, true, true, true, 228.0, 353.0, 294.0, 462.0, 1, 2, 4, 5, 4
13, 5, 264, 287, 2.0, 85.0, 141.0, true, true, true, 792.0, 1199.0, 861.0, 1313.0, 5, 2, 4, 3, 1
13, 5, 334, 399, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3, 3, 7, 6
13, 5, 140, 188, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 6, 1, 1, 3
