nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3
16, 4, 178, 207, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 2, 2, 5
16, 4, 901, 1006, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 9, 4
16, 4, 267, 294, 8.0, 193.0, 61238.0, true, false, true, 801.0, 1231.0, 882.0, 1365.0, 3, 2, 9, 6
16, 4, 831, 837, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 3, 9, 5
16, 4, 616, 742, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 8, 3, 1
16, 4, 926, 938, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 6, 5
16, 4, 749, 760, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 4, 2
16, 4, 300, 317, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 2, 5, 6
16, 4, 300, 319, 15.0, 119.0, 168.0, true, true, true, 900.0, 1380.0, 957.0, 1474.0, 2, 3, 5, 5
16, 4, 610, 689, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 6, 5, 7
16, 4, 141, 201, 2.0, 52.0, 76.0, true, true, true, 423.0, 673.0, 603.0, 972.0, 1, 1, 9, 6
16, 4, 471, 527, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 3, 8, 3
16, 4, 1, 17, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 4, 5
16, 4, 508, 655, -5.6843418860808015E-14, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 1, 9, 6
16, 4, 834, 936, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 8, 2, 4
16, 4, 371, 421, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 3, 5
16, 4, 538, 548, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 9, 9, 2
16, 4, 521, 605, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 9, 2, 3
16, 4, 441, 640, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 9, 1, 3
16, 4, 862, 876, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 8, 6, 4
16, 4, 394, 487, 14.0, 14720.0, 62436.0, false, false, true, 1182.0, 1842.0, 1461.0, 2306.0, 2, 2, 5, 5
16, 4, 601, 649, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 6, 9
16, 4, 480, 490, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 6, 7
16, 4, 114, 175, 6.0, 32.0, 101.0, true, true, true, 342.0, 534.0, 525.0, 838.0, 1, 3, 6, 2
16, 4, 603, 619, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 4, 2, 8
16, 4, 447, 498, 10.0, 62421.0, 62143.0, false, false, true, 1341.0, 2081.0, 1494.0, 2335.0, 3, 7, 9, 2
16, 4, 440, 544, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 9, 7, 1
16, 4, 823, 865, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 7, 5, 9
16, 4, 419, 436, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 7, 7
16, 4, 763, 781, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 8, 3
16, 4, 501, 717, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 1, 7, 6
16, 4, 313, 372, 60.0, 61858.0, 61981.0, false, false, true, 939.0, 1443.0, 1116.0, 1737.0, 4, 2, 2, 6
16, 4, 831, 873, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 9, 8, 9
16, 4, 1, 17, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 4, 2
16, 4, 254, 402, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 9, 5, 1
16, 4, 210, 235, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 1, 6
16, 4, 284, 310, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 3, 1, 7
16, 4, 505, 602, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 8, 4, 6
16, 4, 438, 630, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 1, 6
16, 4, 877, 985, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 7, 9
