nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3, weight4, weight5
18, 6, 562, 845, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 5, 2, 6, 7, 9
18, 6, 1168, 1430, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 4, 7, 10, 6, 2
18, 6, 847, 866, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 9, 9, 6, 6, 2, 9
18, 6, 1021, 1150, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 1, 2, 8, 7
18, 6, 1278, 1429, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 6, 3, 6, 8, 5
18, 6, 772, 890, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 4, 2, 7, 6
18, 6, 1087, 1377, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 8, 6, 5, 3, 4
18, 6, 2479, 2558, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 10, 6, 4, 9, 4, 9
18, 6, 327, 396, 6.0, 61.0, 82.0, true, true, true, 981.0, 1513.0, 1188.0, 1857.0, 5, 2, 7, 1, 1, 3
18, 6, 2833, 3293, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 9, 9, 4, 6, 10
18, 6, 1255, 1370, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 7, 10, 8, 5
18, 6, 634, 730, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 1, 10, 1, 2, 9
18, 6, 1, 19, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 3, 9, 4, 6, 3
