nbPlayer, nbType, timeCreateADDV1, timeCreateADDV2
26, 3 ,1.0, 1.0
26, 3 ,6.0, 3.0
26, 3 ,1.0, 0.0
26, 3 ,3.0, 1.0
26, 3 ,2.0, 1.0
26, 3 ,0.0, 1.0
26, 3 ,3.0, 1.0
26, 3 ,7.0, 3.0
26, 3 ,6.0, 7.0
26, 3 ,32.0, 26.0
26, 3 ,4.0, 3.0
26, 3 ,64.0, 51.0
26, 3 ,1.0, 0.0
26, 3 ,2.0, 2.0
26, 3 ,5.0, 2.0
26, 3 ,2.0, 1.0
26, 3 ,9.0, 4.0
26, 3 ,4.0, 2.0
26, 3 ,8.0, 7.0
26, 3 ,2.0, 2.0
26, 3 ,2.0, 1.0
26, 3 ,5.0, 3.0
26, 3 ,35.0, 27.0
26, 3 ,4.0, 2.0
26, 3 ,14.0, 13.0
26, 3 ,5.0, 1.0
26, 3 ,11.0, 11.0
26, 3 ,25.0, 24.0
26, 3 ,1.0, 2.0
26, 3 ,2.0, 1.0
26, 3 ,2.0, 1.0
26, 3 ,53.0, 49.0
26, 3 ,4.0, 4.0
26, 3 ,15.0, 5.0
26, 3 ,7.0, 4.0
26, 3 ,1.0, 0.0
26, 3 ,1.0, 1.0
26, 3 ,2.0, 1.0
26, 3 ,16.0, 13.0
26, 3 ,1.0, 1.0
26, 3 ,5.0, 3.0
26, 3 ,46.0, 44.0
26, 3 ,2.0, 2.0
26, 3 ,26.0, 23.0
26, 3 ,2.0, 0.0
26, 3 ,6.0, 3.0
26, 3 ,3.0, 2.0
26, 3 ,1.0, 0.0
26, 3 ,58.0, 49.0
26, 3 ,8.0, 7.0
26, 3 ,1.0, 0.0
26, 3 ,9.0, 7.0
26, 3 ,2.0, 1.0
26, 3 ,2.0, 1.0
26, 3 ,6.0, 5.0
26, 3 ,9.0, 9.0
26, 3 ,2.0, 0.0
26, 3 ,8.0, 6.0
26, 3 ,2.0, 0.0
26, 3 ,3.0, 1.0
26, 3 ,26.0, 24.0
26, 3 ,137.0, 31.0
26, 3 ,109.0, 30.0
26, 3 ,9.0, 5.0
26, 3 ,62.0, 49.0
26, 3 ,2.0, 1.0
26, 3 ,2.0, 0.0
26, 3 ,5.0, 1.0
26, 3 ,2.0, 2.0
26, 3 ,11.0, 10.0
26, 3 ,3.0, 2.0
26, 3 ,3.0, 2.0
26, 3 ,60.0, 49.0
26, 3 ,3.0, 1.0
26, 3 ,27.0, 23.0
26, 3 ,6.0, 3.0
26, 3 ,3.0, 2.0
26, 3 ,3.0, 3.0
26, 3 ,22.0, 14.0
26, 3 ,3.0, 1.0
26, 3 ,1.0, 2.0
26, 3 ,29.0, 26.0
26, 3 ,1.0, 1.0
26, 3 ,93.0, 31.0
26, 3 ,5.0, 2.0
26, 3 ,115.0, 36.0
26, 3 ,17.0, 7.0
26, 3 ,17.0, 8.0
26, 3 ,14.0, 15.0
26, 3 ,512.0, 131.0
26, 3 ,12.0, 4.0
26, 3 ,30.0, 25.0
26, 3 ,52.0, 48.0
26, 3 ,4.0, 3.0
26, 3 ,0.0, 1.0
26, 3 ,6.0, 2.0
26, 3 ,13.0, 12.0
26, 3 ,5.0, 4.0
26, 3 ,8.0, 5.0
26, 3 ,7.0, 6.0
26, 3 ,8.0, 4.0
26, 3 ,37.0, 27.0
26, 3 ,2.0, 2.0
26, 3 ,171.0, 45.0
26, 3 ,4.0, 2.0
26, 3 ,4.0, 5.0
26, 3 ,4.0, 2.0
26, 3 ,755.0, 150.0
26, 3 ,1.0, 0.0
26, 3 ,23.0, 11.0
26, 3 ,2.0, 2.0
26, 3 ,23.0, 22.0
26, 3 ,0.0, 1.0
26, 3 ,8.0, 2.0
26, 3 ,9.0, 4.0
26, 3 ,6.0, 4.0
26, 3 ,2.0, 1.0
26, 3 ,11.0, 3.0
26, 3 ,1.0, 1.0
26, 3 ,23.0, 19.0
26, 3 ,0.0, 1.0
26, 3 ,3.0, 2.0
26, 3 ,2.0, 1.0
26, 3 ,30.0, 13.0
26, 3 ,5.0, 3.0
26, 3 ,13.0, 11.0
26, 3 ,14.0, 8.0
26, 3 ,4.0, 3.0
26, 3 ,10.0, 3.0
26, 3 ,10.0, 3.0
26, 3 ,63.0, 18.0
26, 3 ,14.0, 15.0
26, 3 ,17.0, 17.0
26, 3 ,11.0, 10.0
26, 3 ,0.0, 0.0
26, 3 ,3.0, 1.0
26, 3 ,1.0, 1.0
26, 3 ,165.0, 32.0
26, 3 ,2.0, 1.0
26, 3 ,3.0, 2.0
26, 3 ,21.0, 6.0
26, 3 ,13.0, 13.0
26, 3 ,9.0, 5.0
26, 3 ,12.0, 3.0
26, 3 ,8.0, 2.0
26, 3 ,3.0, 3.0
26, 3 ,5.0, 2.0
