nbPlayer, nbType, timeCreateADDV1, timeCreateADDV2
21, 2, 0.91, 0.685
21, 3, 3.955, 1.98
21, 4, 10.34, 6.145
21, 5, 18.67, 8.92
21, 6, 91.415, 48.325
22, 2, 0.415, 0.385
22, 3, 2.49, 1.595
22, 4, 16.26, 10.655
22, 5, 42.975, 19.075
22, 6, 170.1, 69.23
23, 2, 0.515, 0.41
23, 3, 5.375, 2.915
23, 4, 21.73, 10.02
23, 5, 83.62, 45.71
23, 6, 331.575, 153.09
24, 2, 0.625, 0.59
24, 3, 7.625, 4.08
24, 4, 36.16, 15.905
24, 5, 136.36, 74.22
24, 6, 781.1, 261.355
25, 2, 0.725, 0.625
25, 3, 8.0, 5.295
25, 4, 95.97, 58.695
25, 5, 174.05, 50.155
25, 6, 1363.5, 609.38
26, 2, 0.94, 0.915
26, 3, 24.945, 10.92
26, 4, 99.5, 35.055
26, 5, 489.325, 260.075
26, 6, 2164.04, 814.45
27, 2, 1.135, 1.105
27, 3, 28.885, 11.405
27, 4, 161.34, 47.29
27, 5, 390.33, 99.845
27, 6, 3973.76, 1676.605
28, 2, 1.56, 1.375
28, 3, 60.965, 22.855
28, 4, 298.465, 95.645
28, 5, 807.14, 177.95
28, 6, 7964.755, 1792.17
29, 2, 1.78, 1.64
29, 3, 52.835, 23.275
29, 4, 446.035, 126.025
29, 5, 1376.78, 278.005
29, 6, 17022.145, 3089.845
30, 2, 2.555, 2.37
30, 3, 123.635, 44.7
30, 4, 881.09, 202.125
30, 5, 2869.71, 355.775
30, 6, 25633.98, 1907.005
