nbPlayer, nbType, timeCreateADDV1, timeCreateADDV2
24, 6 ,56.0, 16.0
24, 6 ,209.0, 32.0
24, 6 ,252.0, 92.0
24, 6 ,29.0, 15.0
24, 6 ,296.0, 44.0
24, 6 ,106.0, 17.0
24, 6 ,34.0, 19.0
24, 6 ,5902.0, 800.0
24, 6 ,12.0, 7.0
24, 6 ,129.0, 16.0
24, 6 ,3593.0, 1012.0
24, 6 ,272.0, 95.0
24, 6 ,542.0, 34.0
24, 6 ,67.0, 30.0
24, 6 ,61.0, 12.0
24, 6 ,21.0, 6.0
24, 6 ,3648.0, 337.0
24, 6 ,2079.0, 359.0
24, 6 ,48.0, 12.0
24, 6 ,84.0, 37.0
24, 6 ,250.0, 91.0
24, 6 ,64.0, 51.0
24, 6 ,190.0, 110.0
24, 6 ,19.0, 6.0
24, 6 ,147.0, 81.0
24, 6 ,281.0, 62.0
24, 6 ,166.0, 21.0
24, 6 ,218.0, 33.0
24, 6 ,105.0, 17.0
24, 6 ,55.0, 21.0
24, 6 ,102.0, 71.0
24, 6 ,25.0, 7.0
24, 6 ,4.0, 3.0
24, 6 ,74.0, 17.0
24, 6 ,888.0, 368.0
24, 6 ,51.0, 22.0
24, 6 ,210.0, 73.0
24, 6 ,47.0, 10.0
24, 6 ,390.0, 48.0
24, 6 ,124.0, 18.0
24, 6 ,367.0, 239.0
24, 6 ,499.0, 96.0
24, 6 ,685.0, 135.0
24, 6 ,9.0, 4.0
24, 6 ,203.0, 104.0
24, 6 ,225.0, 107.0
24, 6 ,235.0, 37.0
24, 6 ,412.0, 73.0
24, 6 ,123.0, 17.0
24, 6 ,894.0, 359.0
24, 6 ,126.0, 22.0
24, 6 ,3925.0, 584.0
24, 6 ,102.0, 33.0
24, 6 ,124.0, 54.0
24, 6 ,93.0, 70.0
24, 6 ,129.0, 29.0
24, 6 ,739.0, 128.0
24, 6 ,238.0, 73.0
24, 6 ,572.0, 209.0
24, 6 ,85.0, 24.0
24, 6 ,62.0, 18.0
24, 6 ,3314.0, 351.0
24, 6 ,1056.0, 176.0
24, 6 ,54.0, 39.0
24, 6 ,200.0, 50.0
24, 6 ,1447.0, 1436.0
24, 6 ,685.0, 129.0
24, 6 ,2129.0, 329.0
24, 6 ,85.0, 12.0
24, 6 ,142.0, 32.0
24, 6 ,1844.0, 580.0
24, 6 ,10.0, 7.0
24, 6 ,5.0, 2.0
24, 6 ,786.0, 258.0
24, 6 ,311.0, 110.0
24, 6 ,89.0, 38.0
24, 6 ,90.0, 14.0
24, 6 ,13.0, 6.0
24, 6 ,41.0, 13.0
24, 6 ,89.0, 15.0
