nbPlayer, nbType, timeCreateADDV1, timeCreateADDV2
28, 3 ,9.0, 7.0
28, 3 ,11.0, 12.0
28, 3 ,3.0, 2.0
28, 3 ,3.0, 2.0
28, 3 ,4.0, 2.0
28, 3 ,2.0, 1.0
28, 3 ,8.0, 7.0
28, 3 ,4.0, 2.0
28, 3 ,2.0, 2.0
28, 3 ,25.0, 7.0
28, 3 ,275.0, 69.0
28, 3 ,3.0, 1.0
28, 3 ,5.0, 2.0
28, 3 ,39.0, 34.0
28, 3 ,18.0, 18.0
28, 3 ,1.0, 1.0
28, 3 ,1.0, 1.0
28, 3 ,29.0, 25.0
28, 3 ,19.0, 7.0
28, 3 ,92.0, 83.0
28, 3 ,3.0, 4.0
28, 3 ,2.0, 1.0
28, 3 ,3.0, 1.0
28, 3 ,16.0, 5.0
28, 3 ,1.0, 1.0
28, 3 ,608.0, 165.0
28, 3 ,3.0, 1.0
28, 3 ,4.0, 2.0
28, 3 ,24.0, 21.0
28, 3 ,81.0, 28.0
28, 3 ,2176.0, 366.0
28, 3 ,24.0, 24.0
28, 3 ,55.0, 48.0
28, 3 ,16.0, 15.0
28, 3 ,108.0, 32.0
28, 3 ,33.0, 31.0
28, 3 ,1.0, 0.0
28, 3 ,37.0, 25.0
28, 3 ,115.0, 98.0
28, 3 ,2.0, 0.0
28, 3 ,16.0, 4.0
28, 3 ,9.0, 9.0
28, 3 ,17.0, 3.0
28, 3 ,8.0, 7.0
28, 3 ,54.0, 11.0
28, 3 ,10.0, 7.0
28, 3 ,5.0, 2.0
28, 3 ,10.0, 8.0
28, 3 ,7.0, 2.0
28, 3 ,14.0, 6.0
28, 3 ,25.0, 24.0
28, 3 ,13.0, 12.0
28, 3 ,2.0, 2.0
28, 3 ,0.0, 1.0
28, 3 ,0.0, 1.0
28, 3 ,1.0, 1.0
28, 3 ,953.0, 182.0
28, 3 ,16.0, 18.0
28, 3 ,4.0, 2.0
28, 3 ,1.0, 1.0
28, 3 ,14.0, 4.0
28, 3 ,23.0, 23.0
28, 3 ,2.0, 1.0
28, 3 ,4.0, 1.0
28, 3 ,50.0, 14.0
28, 3 ,26.0, 24.0
28, 3 ,1.0, 1.0
28, 3 ,36.0, 35.0
28, 3 ,52.0, 47.0
28, 3 ,3.0, 2.0
28, 3 ,24.0, 7.0
28, 3 ,4.0, 3.0
28, 3 ,16.0, 15.0
