nbPlayer, nbType, timeNu, timeAddO, timeAddNO, timeAddOO, nbNodeAddO, nbNodeAddNO, nbNodeAddOO, temsConstructNu, tempsConstructAddO, tempsConstructAddNO, tempsConstructAddOO
7, 3, 1.0, 1.0, 0.0, 1.0, 38.0, 54.0, 52.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 1.0, 1.0, 1.0, 22.0, 27.0, 40.0, 0.0, 0.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 26.0, 33.0, 40.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 0.0, 0.0, 1.0, 31.0, 35.0, 40.0, 0.0, 0.0, 1.0, 0.0
7, 3, 1.0, 1.0, 0.0, 0.0, 34.0, 49.0, 37.0, 0.0, 1.0, 0.0, 0.0
7, 3, 1.0, 0.0, 0.0, 0.0, 48.0, 35.0, 28.0, 0.0, 1.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 29.0, 33.0, 32.0, 0.0, 0.0, 1.0, 0.0
7, 3, 0.0, 0.0, 1.0, 0.0, 19.0, 29.0, 27.0, 1.0, 0.0, 0.0, 0.0
7, 3, 0.0, 1.0, 0.0, 1.0, 49.0, 49.0, 62.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 1.0, 0.0, 1.0, 38.0, 38.0, 47.0, 0.0, 1.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 23.0, 27.0, 27.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 0.0, 0.0, 0.0, 30.0, 48.0, 43.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 1.0, 1.0, 0.0, 23.0, 30.0, 23.0, 0.0, 1.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 35.0, 35.0, 37.0, 1.0, 0.0, 0.0, 1.0
7, 3, 0.0, 1.0, 1.0, 0.0, 41.0, 41.0, 48.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 0.0, 1.0, 0.0, 8.0, 8.0, 8.0, 0.0, 1.0, 0.0, 0.0
7, 3, 1.0, 1.0, 1.0, 1.0, 17.0, 28.0, 29.0, 0.0, 0.0, 1.0, 0.0
7, 3, 1.0, 0.0, 0.0, 0.0, 30.0, 53.0, 50.0, 0.0, 0.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 31.0, 35.0, 42.0, 1.0, 0.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 30.0, 46.0, 43.0, 0.0, 0.0, 1.0, 0.0
7, 3, 0.0, 0.0, 1.0, 1.0, 42.0, 42.0, 43.0, 0.0, 0.0, 1.0, 0.0
7, 3, 2.0, 0.0, 0.0, 0.0, 26.0, 35.0, 31.0, 0.0, 0.0, 1.0, 0.0
7, 3, 1.0, 1.0, 1.0, 1.0, 20.0, 32.0, 35.0, 0.0, 0.0, 0.0, 1.0
7, 3, 0.0, 2.0, 0.0, 0.0, 56.0, 65.0, 40.0, 0.0, 0.0, 0.0, 1.0
7, 3, 1.0, 0.0, 1.0, 0.0, 28.0, 28.0, 38.0, 0.0, 0.0, 1.0, 0.0
7, 3, 0.0, 1.0, 1.0, 1.0, 36.0, 39.0, 38.0, 0.0, 1.0, 0.0, 0.0
7, 3, 1.0, 1.0, 1.0, 0.0, 26.0, 41.0, 32.0, 0.0, 0.0, 0.0, 0.0
7, 3, 1.0, 1.0, 1.0, 1.0, 30.0, 41.0, 43.0, 0.0, 1.0, 0.0, 0.0
7, 3, 1.0, 1.0, 0.0, 0.0, 18.0, 27.0, 28.0, 0.0, 0.0, 0.0, 0.0
7, 3, 0.0, 0.0, 0.0, 0.0, 26.0, 26.0, 40.0, 0.0, 0.0, 1.0, 0.0
