nbPlayer, nbType, timeCreateADD, timeCreateDAG, nbNodeADD, nbNodeDAG, timeSolveDAG, emptyCore, cosDAG
24, 5, 72.0, 0.0, 2587.0, 2779.0, 38.0, false, 0.0
24, 5, 8.0, 1.0, 5224.0, 6107.0, 111.0, true, 45.0
24, 5, 8.0, 0.0, 2147.0, 2594.0, 36.0, true, 4.0
24, 5, 21.0, 1.0, 5227.0, 7117.0, 101.0, true, 6.0
24, 5, 12.0, 0.0, 5077.0, 5693.0, 69.0, false, 0.0
24, 5, 9.0, 0.0, 6448.0, 7037.0, 128.0, false, 0.0
24, 5, 8.0, 0.0, 2874.0, 3090.0, 30.0, false, 0.0
24, 5, 72.0, 1.0, 4194.0, 4264.0, 55.0, false, 0.0
24, 5, 49.0, 1.0, 6100.0, 6208.0, 183.0, false, 0.0
24, 5, 7.0, 1.0, 1246.0, 1573.0, 9.0, true, 4.0
24, 5, 10.0, 0.0, 1569.0, 1684.0, 14.0, false, 0.0
24, 5, 6.0, 0.0, 2324.0, 2421.0, 26.0, true, 12.0
24, 5, 6.0, 0.0, 1124.0, 1327.0, 7.0, false, 0.0
24, 5, 13.0, 0.0, 2281.0, 2773.0, 34.0, true, 36.0
24, 5, 12.0, 1.0, 4561.0, 5143.0, 58.0, false, 0.0
24, 5, 15.0, 0.0, 6314.0, 7478.0, 79.0, false, 0.0
24, 5, 10.0, 1.0, 2817.0, 3080.0, 46.0, true, 32.0
24, 5, 50.0, 1.0, 3884.0, 3956.0, 33.0, false, 0.0
24, 5, 27.0, 0.0, 5676.0, 5922.0, 117.0, false, 0.0
24, 5, 68.0, 1.0, 7639.0, 7706.0, 122.0, false, 0.0
24, 5, 10.0, 0.0, 2014.0, 2181.0, 24.0, false, 0.0
24, 5, 16.0, 0.0, 1833.0, 1949.0, 14.0, false, 0.0
24, 5, 31.0, 0.0, 5144.0, 5235.0, 138.0, false, 0.0
24, 5, 6.0, 1.0, 3609.0, 3870.0, 68.0, true, 17.0
24, 5, 9294.0, 0.0, 45.0, 151.0, 0.0, false, 0.0
24, 5, 8.0, 0.0, 1880.0, 2279.0, 27.0, true, 28.0
24, 5, 24.0, 0.0, 3601.0, 3681.0, 31.0, false, 0.0
24, 5, 9051.0, 0.0, 21.0, 76.0, 0.0, false, 0.0
24, 5, 11.0, 1.0, 6332.0, 7232.0, 121.0, false, 0.0
24, 5, 5.0, 0.0, 2398.0, 2480.0, 31.0, false, 0.0
24, 5, 10.0, 0.0, 3301.0, 3670.0, 66.0, false, 0.0
24, 5, 21.0, 0.0, 5187.0, 5220.0, 70.0, false, 0.0
24, 5, 72.0, 0.0, 4087.0, 4157.0, 59.0, false, 0.0
24, 5, 12.0, 1.0, 1686.0, 1725.0, 12.0, false, 0.0
24, 5, 32.0, 0.0, 5257.0, 6158.0, 76.0, false, 0.0
