nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, emptyCore
25, 3, 0.0, 1.0, 0.0, 0.0, 0, 19.0, 0, 0, 0, 14.0, 0, 0, 0, 5.0, 0, 0, 897, 0, 0, 967, 0, 0, false
25, 3, 0.0, 3.0, 0.0, 0.0, 0, 23.0, 0, 0, 0, 17.0, 0, 0, 0, 6.0, 0, 0, 698, 0, 0, 1123, 0, 0, true
25, 3, 0.0, 1.0, 0.0, 0.0, 0, 29.0, 0, 0, 0, 18.0, 0, 0, 0, 11.0, 0, 0, 1208, 0, 0, 1236, 0, 0, false
25, 3, 0.0, 10.0, 0.0, 0.0, 0, 28.0, 0, 0, 0, 20.0, 0, 0, 0, 8.0, 0, 0, 1160, 0, 0, 1272, 0, 0, true
25, 3, 0.0, 2.0, 0.0, 0.0, 0, 45.0, 0, 0, 0, 28.0, 0, 0, 0, 17.0, 0, 0, 1827, 0, 0, 1849, 0, 0, false
25, 3, 0.0, 3.0, 0.0, 0.0, 0, 14.0, 0, 0, 0, 9.0, 0, 0, 0, 5.0, 0, 0, 471, 0, 0, 639, 0, 0, true
25, 3, 0.0, 2.0, 0.0, 0.0, 0, 29.0, 0, 0, 0, 19.0, 0, 0, 0, 10.0, 0, 0, 1293, 0, 0, 1362, 0, 0, true
25, 3, 0.0, 3.0, 0.0, 0.0, 0, 58.0, 0, 0, 0, 41.0, 0, 0, 0, 17.0, 0, 0, 2041, 0, 0, 2912, 0, 0, false
25, 3, 0.0, 3.0, 0.0, 0.0, 0, 65.0, 0, 0, 0, 50.0, 0, 0, 0, 15.0, 0, 0, 1711, 0, 0, 3471, 0, 0, false
25, 3, 0.0, 3.0, 0.0, 0.0, 0, 40.0, 0, 0, 0, 23.0, 0, 0, 0, 17.0, 0, 0, 1467, 0, 0, 1540, 0, 0, true
