nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, emptyCore
39, 4, 0.0, 2399.0, 0.0, 0.0, 0, 800.0, 0, 0, 0, 395.0, 0, 0, 0, 405.0, 0, 0, 14465, 0, 0, 25576, 0, 0, false
39, 4, 0.0, 1129.0, 0.0, 0.0, 0, 421.0, 0, 0, 0, 189.0, 0, 0, 0, 232.0, 0, 0, 12091, 0, 0, 12388, 0, 0, false
39, 4, 0.0, 1213.0, 0.0, 0.0, 0, 729.0, 0, 0, 0, 283.0, 0, 0, 0, 446.0, 0, 0, 16087, 0, 0, 18479, 0, 0, false
39, 4, 0.0, 1903.0, 0.0, 0.0, 0, 998.0, 0, 0, 0, 401.0, 0, 0, 0, 597.0, 0, 0, 25812, 0, 0, 26028, 0, 0, false
39, 4, 0.0, 3051.0, 0.0, 0.0, 0, 529.0, 0, 0, 0, 237.0, 0, 0, 0, 292.0, 0, 0, 14788, 0, 0, 15673, 0, 0, true
39, 4, 0.0, 1346.0, 0.0, 0.0, 0, 215.0, 0, 0, 0, 107.0, 0, 0, 0, 108.0, 0, 0, 5293, 0, 0, 7057, 0, 0, true
39, 4, 0.0, 192.0, 0.0, 0.0, 0, 286.0, 0, 0, 0, 73.0, 0, 0, 0, 213.0, 0, 0, 11290, 0, 0, 11377, 0, 0, false
39, 4, 0.0, 58.0, 0.0, 0.0, 0, 199.0, 0, 0, 0, 54.0, 0, 0, 0, 145.0, 0, 0, 8453, 0, 0, 8593, 0, 0, false
39, 4, 0.0, 145.0, 0.0, 0.0, 0, 166.0, 0, 0, 0, 90.0, 0, 0, 0, 76.0, 0, 0, 4628, 0, 0, 6028, 0, 0, true
39, 4, 0.0, 32.0, 0.0, 0.0, 0, 217.0, 0, 0, 0, 108.0, 0, 0, 0, 109.0, 0, 0, 4059, 0, 0, 7126, 0, 0, true
39, 4, 0.0, 691.0, 0.0, 0.0, 0, 156.0, 0, 0, 0, 59.0, 0, 0, 0, 97.0, 0, 0, 6188, 0, 0, 8643, 0, 0, true
39, 4, 0.0, 83.0, 0.0, 0.0, 0, 618.0, 0, 0, 0, 221.0, 0, 0, 0, 397.0, 0, 0, 11064, 0, 0, 14904, 0, 0, true
39, 4, 0.0, 25.0, 0.0, 0.0, 0, 290.0, 0, 0, 0, 119.0, 0, 0, 0, 171.0, 0, 0, 6097, 0, 0, 7763, 0, 0, false
39, 4, 0.0, 60315.0, 0.0, 0.0, 0, 196.0, 0, 0, 0, 47.0, 0, 0, 0, 149.0, 0, 0, 7606, 0, 0, 7943, 0, 0, true
39, 4, 0.0, 59697.0, 0.0, 0.0, 0, 263.0, 0, 0, 0, 64.0, 0, 0, 0, 199.0, 0, 0, 9706, 0, 0, 9839, 0, 0, true
39, 4, 0.0, 2751.0, 0.0, 0.0, 0, 608.0, 0, 0, 0, 136.0, 0, 0, 0, 472.0, 0, 0, 19790, 0, 0, 21138, 0, 0, false
